TP9,AF7,AF8,TP10
-25.391,21.973,91.797,-77.148
-23.926,22.461,63.477,-64.453
-24.414,20.508,-36.621,-68.359
-23.926,17.578,-107.422,-84.473
-27.344,20.508,-56.152,-93.75
-24.414,21.484,51.758,-73.242
-14.648,24.902,14.16,-57.617
-8.301,24.902,-50.293,-65.43
-12.695,24.414,-96.68,-80.078
-20.02,23.438,-41.016,-87.891
-19.043,21.484,69.824,-77.148
-14.16,21.973,38.086,-59.082
-15.137,22.949,-6.836,-61.035
-19.043,23.926,-34.668,-79.59
-21.484,23.926,-114.746,-85.449
-16.113,26.855,21.973,-73.73
-15.137,26.367,115.723,-61.523
-14.16,26.367,6.348,-63.965
-16.113,26.855,-63.477,-76.66
-24.414,24.414,-65.918,-85.938
-25.391,20.996,70.801,-76.66
-21.973,20.508,93.75,-62.5
-18.555,21.973,32.227,-58.105
-22.461,24.902,-24.902,-67.871
-28.809,28.32,-69.824,-77.637
-24.902,30.273,64.453,-74.707
-11.23,34.668,112.793,-59.082
-4.395,37.109,31.738,-46.875
-26.367,29.297,-7.324,-72.266
-42.969,20.02,-69.824,-95.703
-33.691,19.531,26.367,-82.52
-36.621,16.602,119.629,-65.918
-44.434,12.695,100.586,-63.477
-43.945,10.742,57.617,-72.266
-41.504,10.254,-64.941,-87.402
-33.203,18.066,13.672,-89.355
-34.18,21.484,189.453,-69.336
-31.738,20.996,118.652,-54.688
-26.855,21.484,40.039,-60.059
-30.273,18.555,-52.246,-74.219
-25.879,18.555,28.32,-75.195
-17.578,21.484,139.16,-60.059
-13.672,20.996,100.098,-57.617
-12.695,20.508,22.949,-65.43
-20.02,20.996,-21.484,-76.172
-23.438,22.461,78.125,-79.102
-18.066,23.926,184.57,-62.5
-20.02,24.902,116.699,-58.594
-23.926,30.273,48.34,-69.336
-30.762,30.273,-13.672,-79.102
-31.25,27.832,-16.113,-86.426
-22.461,25.879,142.578,-69.824
-23.926,20.996,166.016,-57.129
-26.855,17.09,79.59,-67.383
-26.367,20.996,5.371,-76.172
-24.414,26.367,-0.488,-80.566
-12.695,23.926,147.461,-69.336
-10.254,20.02,152.832,-53.711
-14.16,20.508,59.57,-52.734
-8.789,21.484,27.832,-56.152
-9.277,25.391,-18.066,-69.824
-7.812,25.391,117.676,-68.848
3.418,22.461,166.016,-44.434
4.883,25.391,81.543,-48.828
4.395,29.297,-5.371,-62.988
0.0,29.297,11.23,-66.406
-3.906,24.414,120.605,-60.059
-2.93,22.949,101.074,-52.246
-2.93,22.949,104.492,-59.082
-5.859,22.949,21.484,-71.289
-11.23,22.461,-27.832,-84.961
-12.695,20.02,132.324,-82.52
-8.301,17.578,127.441,-66.406
-6.348,20.02,36.133,-63.965
-12.207,25.879,30.762,-78.125
-17.578,26.367,-74.219,-96.68
-15.625,22.461,-1.953,-93.262
-10.254,16.113,123.535,-77.148
-10.254,15.625,57.129,-71.777
-8.301,20.02,-25.879,-80.566
-4.883,18.555,-66.406,-95.215
-8.789,12.695,-20.508,-96.191
-9.277,11.23,161.133,-81.055
-1.465,18.066,170.41,-64.453
3.418,21.973,59.57,-67.383
0.488,21.484,-7.324,-84.961
0.488,21.973,58.594,-84.961
-0.488,18.555,163.574,-67.871
-1.953,22.949,137.207,-59.082
-1.953,28.32,59.57,-63.477
-5.371,24.414,-14.16,-74.219
-0.488,22.461,41.992,-77.637
3.418,28.32,160.156,-67.871
3.906,27.832,159.668,-62.012
3.906,21.973,101.074,-67.383
-1.465,23.926,-14.648,-80.078
-1.953,23.926,-47.852,-91.797
1.465,18.066,136.23,-81.055
0.0,19.531,190.43,-66.895
-7.812,23.438,86.914,-71.777
-17.09,22.461,9.766,-80.566
-20.02,17.578,33.691,-83.496
-15.625,18.066,147.461,-74.707
-10.742,20.02,111.328,-64.941
-7.324,18.066,93.75,-63.965
-7.812,15.137,62.988,-71.289
-12.207,12.695,-38.574,-80.078
-12.695,9.277,86.914,-75.684
-8.301,13.184,200.684,-64.453
-5.859,20.02,104.004,-58.594
-4.883,19.043,30.273,-77.148
3.418,17.578,-2.441,-86.426
13.672,22.461,105.469,-66.406
2.441,21.484,173.828,-69.336
-10.254,20.996,80.078,-81.543
-13.672,22.949,15.137,-89.844
-16.602,22.461,-24.414,-97.168
-17.09,21.484,80.566,-89.355
-18.555,15.625,226.074,-75.684
-15.625,19.531,111.816,-67.871
-19.531,22.949,40.527,-81.543
-20.508,22.461,-2.441,-96.191
-16.113,22.949,63.965,-94.727
-11.23,20.508,149.414,-87.891
-7.324,20.02,129.883,-81.543
-17.09,20.996,66.406,-87.891
-17.578,25.879,-8.789,-99.121
-10.254,23.926,48.34,-92.285
-6.836,22.461,171.387,-74.219
-8.301,21.484,161.133,-71.777
-10.742,19.043,64.453,-76.66
-13.184,20.508,-5.859,-83.496
-16.602,23.926,56.641,-83.984
-10.254,25.879,191.895,-72.266
-2.93,26.855,128.418,-71.289
-3.418,31.25,65.918,-73.73
-2.93,33.203,-2.441,-78.125
-1.465,34.18,8.301,-79.59
3.418,34.18,167.969,-66.406
9.766,30.762,132.812,-58.105
13.184,29.297,85.449,-69.824
9.277,27.344,42.48,-84.473
5.859,33.203,-17.578,-85.938
10.742,34.668,122.07,-73.73
13.184,34.668,168.945,-56.152
19.043,36.133,70.312,-59.082
19.531,33.691,50.293,-71.777
11.23,30.762,55.176,-78.125
11.719,28.32,147.949,-65.918
14.16,27.344,153.32,-54.688
11.23,28.809,62.012,-62.5
6.836,28.32,-1.465,-78.125
3.418,24.902,-3.906,-92.773
2.93,28.32,133.301,-84.961
7.324,30.762,217.773,-65.43
12.695,29.785,98.633,-63.965
11.23,29.297,49.805,-74.219
5.859,32.715,22.949,-78.125
4.395,31.738,131.348,-78.613
7.812,24.414,143.555,-77.637
7.812,22.949,88.867,-74.219
0.488,24.414,89.355,-80.566
-1.465,23.926,2.441,-83.496
3.418,25.879,64.453,-72.266
3.418,27.344,172.363,-58.594
5.859,25.879,143.066,-52.734
9.277,29.297,73.73,-57.129
6.348,30.762,-29.785,-68.848
11.719,23.438,48.828,-61.035
14.16,21.973,220.215,-40.527
0.488,29.785,128.906,-54.688
-2.93,35.156,34.668,-81.543
2.441,35.645,-11.719,-89.355
5.371,34.668,50.293,-80.566
12.695,34.668,140.625,-66.406
11.23,32.227,116.699,-56.641
4.883,29.785,70.801,-67.383
0.488,31.738,14.648,-86.914
3.418,32.715,23.438,-88.379
10.742,32.227,178.711,-74.707
13.672,31.738,156.25,-65.918
12.695,30.273,58.105,-72.266
4.883,25.879,17.09,-83.984
5.859,22.949,60.547,-86.914
8.301,21.484,143.066,-75.195
-0.488,21.973,142.09,-68.848
-3.418,23.438,66.895,-69.824
-0.488,23.926,-34.18,-80.078
-1.953,23.438,-17.09,-89.844
0.0,22.949,139.16,-78.125
4.395,28.32,166.992,-65.43
0.977,29.785,75.684,-65.918
-5.859,26.855,20.508,-80.566
-8.789,25.879,9.277,-94.238
-4.883,26.367,117.188,-84.961
-1.465,29.297,126.465,-70.312
-1.953,33.691,76.172,-74.707
-1.953,29.785,-0.488,-86.914
-2.441,24.414,-18.066,-87.891
0.0,28.32,85.938,-80.078
0.0,32.227,119.141,-73.73
-5.371,33.203,85.449,-75.195
-9.766,34.18,8.301,-86.426
